model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
CNCF,100,1,128,128,0.001,10,0.0005,490,5,Adam,0.3195,0.604,0.2007,0.7243
CNCF,100,1,128,128,0.001,10,0.0005,500,5,Adam,0.319,0.6016,0.1998,0.7196
CNCF,100,1,128,128,0.001,10,0.0005,510,5,Adam,0.3204,0.6058,0.2016,0.7265
CNCF,100,1,128,128,0.001,10,0.0005,520,5,Adam,0.3205,0.605,0.2007,0.7236
CNCF,100,1,128,128,0.001,10,0.0005,530,5,Adam,0.3209,0.6053,0.2018,0.7268
CNCF,100,1,128,128,0.001,10,0.0005,540,5,Adam,0.3218,0.6072,0.202,0.7275
CNCF,100,1,128,128,0.001,10,0.0005,550,5,Adam,0.3217,0.6076,0.2024,0.7293
CNCF,100,1,128,128,0.001,10,0.0005,560,5,Adam,0.3198,0.6029,0.201,0.7221
CNCF,100,1,128,128,0.001,10,0.0005,570,5,Adam,0.321,0.6066,0.2021,0.7284
CNCF,100,1,128,128,0.001,10,0.0005,580,5,Adam,0.3187,0.6016,0.2004,0.7204
CNCF,100,1,128,128,0.001,10,0.0005,590,5,Adam,0.3192,0.6033,0.2009,0.7243
CNCF,100,1,128,128,0.001,10,0.0005,600,5,Adam,0.3184,0.6005,0.1996,0.7181
CNCF,100,1,128,128,0.001,10,0.0005,610,5,Adam,0.3209,0.6061,0.2018,0.7267
CNCF,100,1,128,128,0.001,10,0.0005,620,5,Adam,0.3209,0.6053,0.2015,0.7252
CNCF,100,1,128,128,0.001,10,0.0005,630,5,Adam,0.3202,0.6045,0.2009,0.7238
CNCF,100,1,128,128,0.001,10,0.0005,640,5,Adam,0.3206,0.6052,0.2018,0.7242
CNCF,100,1,128,128,0.001,10,0.0005,650,5,Adam,0.3194,0.6015,0.1997,0.7175
CNCF,100,1,128,128,0.001,10,0.0005,660,5,Adam,0.3196,0.6019,0.2001,0.7193
CNCF,100,1,128,128,0.001,10,0.0005,670,5,Adam,0.3199,0.6049,0.202,0.7267
CNCF,100,1,128,128,0.001,10,0.0005,680,5,Adam,0.3189,0.6008,0.1995,0.719
CNCF,100,1,128,128,0.001,10,0.0005,690,5,Adam,0.3193,0.6017,0.2,0.7183
CNCF,100,1,128,128,0.001,10,0.0005,700,5,Adam,0.32,0.6031,0.2006,0.72
CNCF,100,1,128,128,0.001,10,0.0005,710,5,Adam,0.3205,0.6061,0.2012,0.7268
CNCF,100,1,128,128,0.001,10,0.0005,720,5,Adam,0.3207,0.6043,0.2015,0.7247
CNCF,100,1,128,128,0.001,10,0.0005,730,5,Adam,0.3194,0.6013,0.2002,0.7183
CNCF,100,1,128,128,0.001,10,0.0005,740,5,Adam,0.3197,0.6026,0.1995,0.7192
CNCF,100,1,128,128,0.001,10,0.0005,750,5,Adam,0.32,0.6023,0.2006,0.7202
CNCF,100,1,128,128,0.001,10,0.0005,760,5,Adam,0.3215,0.6058,0.2014,0.7231
CNCF,100,1,128,128,0.001,10,0.0005,770,5,Adam,0.3184,0.6003,0.1995,0.7189
CNCF,100,1,128,128,0.001,10,0.0005,780,5,Adam,0.3204,0.6037,0.2018,0.722
CNCF,100,1,128,128,0.001,10,0.0005,790,5,Adam,0.318,0.5987,0.2,0.7174
CNCF,100,1,128,128,0.001,10,0.0005,800,5,Adam,0.3198,0.6026,0.1999,0.7178
CNCF,100,1,128,128,0.001,10,0.0005,810,5,Adam,0.3208,0.6053,0.2015,0.7243
CNCF,100,1,128,128,0.001,10,0.0005,820,5,Adam,0.3199,0.602,0.2,0.7185
CNCF,100,1,128,128,0.001,10,0.0005,830,5,Adam,0.321,0.606,0.2022,0.726
CNCF,100,1,128,128,0.001,10,0.0005,840,5,Adam,0.3191,0.601,0.1999,0.7183
CNCF,100,1,128,128,0.001,10,0.0005,850,5,Adam,0.3193,0.6017,0.2005,0.721
CNCF,100,1,128,128,0.001,10,0.0005,860,5,Adam,0.3189,0.6006,0.2003,0.7179
CNCF,100,1,128,128,0.001,10,0.0005,870,5,Adam,0.319,0.6015,0.2006,0.7201
CNCF,100,1,128,128,0.001,10,0.0005,880,5,Adam,0.3181,0.5996,0.1994,0.7159
CNCF,100,1,128,128,0.001,10,0.0005,890,5,Adam,0.3208,0.6063,0.202,0.7271
CNCF,100,1,128,128,0.001,10,0.0005,900,5,Adam,0.3195,0.6016,0.2009,0.7196
CNCF,100,1,128,128,0.001,10,0.0005,910,5,Adam,0.3169,0.597,0.1993,0.7153
CNCF,100,1,128,128,0.001,10,0.0005,920,5,Adam,0.3209,0.6047,0.2013,0.7232
CNCF,100,1,128,128,0.001,10,0.0005,930,5,Adam,0.3164,0.5959,0.1992,0.7135
CNCF,100,1,128,128,0.001,10,0.0005,940,5,Adam,0.3184,0.5993,0.2003,0.7166
CNCF,100,1,128,128,0.001,10,0.0005,950,5,Adam,0.3192,0.602,0.2013,0.7219
CNCF,100,1,128,128,0.001,10,0.0005,960,5,Adam,0.3187,0.5999,0.201,0.7181
CNCF,100,1,128,128,0.001,10,0.0005,970,5,Adam,0.3211,0.6048,0.2009,0.7215
CNCF,100,1,128,128,0.001,10,0.0005,980,5,Adam,0.3179,0.5985,0.1998,0.7156
CNCF,100,1,128,128,0.001,10,0.0005,990,5,Adam,0.3168,0.5969,0.2002,0.7162
CNCF,100,1,128,128,0.001,10,0.0005,1000,5,Adam,0.3208,0.6057,0.2024,0.7263
IVNCF,200,1,128,128,5e-05,10,0.0001,10,5,Adam,0.2784,0.5331,0.1898,0.6833
IVNCF,200,1,128,128,5e-05,10,0.0001,20,5,Adam,0.319,0.6044,0.2052,0.7401
IVNCF,200,1,128,128,5e-05,10,0.0001,30,5,Adam,0.3171,0.6002,0.2029,0.7325
IVNCF,200,1,128,128,5e-05,10,0.0001,40,5,Adam,0.3182,0.6023,0.2023,0.7345
IVNCF,200,1,128,128,5e-05,10,0.0001,50,5,Adam,0.3162,0.5982,0.2013,0.7283
IVNCF,200,1,128,128,5e-05,10,0.0001,60,5,Adam,0.3157,0.5969,0.2014,0.727
IVNCF,200,1,128,128,5e-05,10,0.0001,70,5,Adam,0.3172,0.6005,0.203,0.7332
IVNCF,200,1,128,128,5e-05,10,0.0001,80,5,Adam,0.3148,0.596,0.2017,0.7288
IVNCF,200,1,128,128,5e-05,10,0.0001,90,5,Adam,0.3145,0.5951,0.2011,0.727
IVNCF,200,1,128,128,5e-05,10,0.0001,100,5,Adam,0.3156,0.5973,0.2022,0.7284
IVNCF,200,1,128,128,5e-05,10,0.0001,110,5,Adam,0.315,0.596,0.2015,0.7277
IVNCF,200,1,128,128,5e-05,10,0.0001,120,5,Adam,0.3139,0.5938,0.2006,0.7253
IVNCF,200,1,128,128,5e-05,10,0.0001,130,5,Adam,0.3134,0.5932,0.2004,0.7245
IVNCF,200,1,128,128,5e-05,10,0.0001,140,5,Adam,0.3149,0.5962,0.2019,0.7287
IVNCF,200,1,128,128,5e-05,10,0.0001,150,5,Adam,0.3126,0.5909,0.1993,0.7182
IVNCF,200,1,128,128,5e-05,10,0.0001,160,5,Adam,0.3129,0.592,0.1994,0.7209
IVNCF,200,1,128,128,5e-05,10,0.0001,170,5,Adam,0.3128,0.5921,0.1999,0.7219
IVNCF,200,1,128,128,5e-05,10,0.0001,180,5,Adam,0.3131,0.591,0.1986,0.7173
IVNCF,200,1,128,128,5e-05,10,0.0001,190,5,Adam,0.3146,0.5949,0.2007,0.7251
IVNCF,200,1,128,128,5e-05,10,0.0001,200,5,Adam,0.3125,0.5908,0.1993,0.7199
IVNCF,200,1,128,128,5e-05,10,0.0001,210,5,Adam,0.3125,0.5907,0.1994,0.7188
IVNCF,200,1,128,128,5e-05,10,0.0001,220,5,Adam,0.3121,0.5896,0.1988,0.7164
IVNCF,200,1,128,128,5e-05,10,0.0001,230,5,Adam,0.3131,0.5914,0.199,0.719
IVNCF,200,1,128,128,5e-05,10,0.0001,240,5,Adam,0.3141,0.5929,0.1994,0.7191
IVNCF,200,1,128,128,5e-05,10,0.0001,250,5,Adam,0.3141,0.5937,0.1997,0.7216
IVNCF,200,1,128,128,5e-05,10,0.0001,260,5,Adam,0.3157,0.5967,0.2012,0.7263
IVNCF,200,1,128,128,5e-05,10,0.0001,270,5,Adam,0.315,0.5958,0.201,0.7252
IVNCF,200,1,128,128,5e-05,10,0.0001,280,5,Adam,0.314,0.593,0.2,0.7216
IVNCF,200,1,128,128,5e-05,10,0.0001,290,5,Adam,0.3131,0.5915,0.1989,0.7183
IVNCF,200,1,128,128,5e-05,10,0.0001,300,5,Adam,0.3139,0.5933,0.2002,0.7217
IVNCF,200,1,128,128,5e-05,10,0.0001,310,5,Adam,0.3129,0.5921,0.1996,0.7216
IVNCF,200,1,128,128,5e-05,10,0.0001,320,5,Adam,0.3154,0.5962,0.2013,0.7262
IVNCF,200,1,128,128,5e-05,10,0.0001,330,5,Adam,0.3131,0.5914,0.1994,0.7193
IVNCF,200,1,128,128,5e-05,10,0.0001,340,5,Adam,0.3149,0.5955,0.201,0.7246
IVNCF,200,1,128,128,5e-05,10,0.0001,350,5,Adam,0.3142,0.5929,0.2,0.7191
IVNCF,200,1,128,128,5e-05,10,0.0001,360,5,Adam,0.313,0.5904,0.1992,0.7169
IVNCF,200,1,128,128,5e-05,10,0.0001,370,5,Adam,0.3149,0.5951,0.2013,0.7248
IVNCF,200,1,128,128,5e-05,10,0.0001,380,5,Adam,0.3126,0.5907,0.1988,0.7175
IVNCF,200,1,128,128,5e-05,10,0.0001,390,5,Adam,0.3148,0.5945,0.2005,0.7219
IVNCF,200,1,128,128,5e-05,10,0.0001,400,5,Adam,0.3148,0.5939,0.1999,0.7193
IVNCF,200,1,128,128,5e-05,10,0.0001,410,5,Adam,0.3133,0.5918,0.1998,0.7198
IVNCF,200,1,128,128,5e-05,10,0.0001,420,5,Adam,0.3154,0.5962,0.2007,0.7248
IVNCF,200,1,128,128,5e-05,10,0.0001,430,5,Adam,0.3124,0.5905,0.1995,0.7192
IVNCF,200,1,128,128,5e-05,10,0.0001,440,5,Adam,0.3147,0.5932,0.1998,0.7192
IVNCF,200,1,128,128,5e-05,10,0.0001,450,5,Adam,0.3148,0.5943,0.1995,0.7201
IVNCF,200,1,128,128,5e-05,10,0.0001,460,5,Adam,0.3133,0.5918,0.1991,0.7194
IVNCF,200,1,128,128,5e-05,10,0.0001,470,5,Adam,0.3136,0.5916,0.1993,0.7177
IVNCF,200,1,128,128,5e-05,10,0.0001,480,5,Adam,0.3156,0.5946,0.2002,0.7204
IVNCF,200,1,128,128,5e-05,10,0.0001,490,5,Adam,0.3158,0.5971,0.2013,0.7265
IVNCF,200,1,128,128,5e-05,10,0.0001,500,5,Adam,0.3141,0.5933,0.1993,0.7193
IVNCF,200,1,128,128,5e-05,10,0.0001,510,5,Adam,0.3132,0.591,0.1984,0.7143
IVNCF,200,1,128,128,5e-05,10,0.0001,520,5,Adam,0.315,0.5946,0.2005,0.7219
IVNCF,200,1,128,128,5e-05,10,0.0001,530,5,Adam,0.3144,0.593,0.2,0.7199
IVNCF,200,1,128,128,5e-05,10,0.0001,540,5,Adam,0.3151,0.5959,0.2007,0.7246
IVNCF,200,1,128,128,5e-05,10,0.0001,550,5,Adam,0.3154,0.5959,0.201,0.7247
IVNCF,200,1,128,128,5e-05,10,0.0001,560,5,Adam,0.3144,0.5932,0.1997,0.7189
IVNCF,200,1,128,128,5e-05,10,0.0001,570,5,Adam,0.3138,0.5923,0.1995,0.7183
IVNCF,200,1,128,128,5e-05,10,0.0001,580,5,Adam,0.315,0.5949,0.2003,0.7223
IVNCF,200,1,128,128,5e-05,10,0.0001,590,5,Adam,0.3132,0.5906,0.1988,0.7158
IVNCF,200,1,128,128,5e-05,10,0.0001,600,5,Adam,0.3144,0.5923,0.1996,0.7177
IVNCF,200,1,128,128,5e-05,10,0.0001,610,5,Adam,0.3142,0.5926,0.1995,0.7184
IVNCF,200,1,128,128,5e-05,10,0.0001,620,5,Adam,0.3141,0.5933,0.2001,0.7215
IVNCF,200,1,128,128,5e-05,10,0.0001,630,5,Adam,0.3157,0.5955,0.2003,0.7212
IVNCF,200,1,128,128,5e-05,10,0.0001,640,5,Adam,0.3161,0.5968,0.201,0.7235
IVNCF,200,1,128,128,5e-05,10,0.0001,650,5,Adam,0.3149,0.5939,0.1996,0.7188
IVNCF,200,1,128,128,5e-05,10,0.0001,660,5,Adam,0.3157,0.5961,0.2008,0.7235
IVNCF,200,1,128,128,5e-05,10,0.0001,670,5,Adam,0.3161,0.5968,0.2006,0.7236
IVNCF,200,1,128,128,5e-05,10,0.0001,680,5,Adam,0.3135,0.5918,0.1996,0.7183
IVNCF,200,1,128,128,5e-05,10,0.0001,690,5,Adam,0.3158,0.5959,0.2002,0.7222
IVNCF,200,1,128,128,5e-05,10,0.0001,700,5,Adam,0.3143,0.5926,0.1991,0.7177
IVNCF,200,1,128,128,5e-05,10,0.0001,710,5,Adam,0.3125,0.5895,0.1977,0.7131
IVNCF,200,1,128,128,5e-05,10,0.0001,720,5,Adam,0.3135,0.591,0.1987,0.715
IVNCF,200,1,128,128,5e-05,10,0.0001,730,5,Adam,0.3147,0.595,0.2005,0.7231
IVNCF,200,1,128,128,5e-05,10,0.0001,740,5,Adam,0.3162,0.5962,0.2002,0.7226
IVNCF,200,1,128,128,5e-05,10,0.0001,750,5,Adam,0.3158,0.595,0.1998,0.7196
IVNCF,200,1,128,128,5e-05,10,0.0001,760,5,Adam,0.3156,0.5949,0.1999,0.7199
IVNCF,200,1,128,128,5e-05,10,0.0001,770,5,Adam,0.3144,0.5929,0.1994,0.7184
IVNCF,200,1,128,128,5e-05,10,0.0001,780,5,Adam,0.3157,0.5952,0.1995,0.7196
IVNCF,200,1,128,128,5e-05,10,0.0001,790,5,Adam,0.3151,0.5939,0.1995,0.7185
IVNCF,200,1,128,128,5e-05,10,0.0001,800,5,Adam,0.3136,0.5916,0.199,0.7161
IVNCF,200,1,128,128,5e-05,10,0.0001,810,5,Adam,0.315,0.5945,0.1996,0.719
IVNCF,200,1,128,128,5e-05,10,0.0001,820,5,Adam,0.3133,0.5905,0.1986,0.7146
IVNCF,200,1,128,128,5e-05,10,0.0001,830,5,Adam,0.3151,0.5937,0.1996,0.7182
IVNCF,200,1,128,128,5e-05,10,0.0001,840,5,Adam,0.3174,0.5982,0.2016,0.7243
IVNCF,200,1,128,128,5e-05,10,0.0001,850,5,Adam,0.3135,0.5916,0.1985,0.7156
IVNCF,200,1,128,128,5e-05,10,0.0001,860,5,Adam,0.3151,0.5933,0.1994,0.7183
IVNCF,200,1,128,128,5e-05,10,0.0001,870,5,Adam,0.3169,0.5968,0.2003,0.721
IVNCF,200,1,128,128,5e-05,10,0.0001,880,5,Adam,0.3163,0.5957,0.2,0.7195
IVNCF,200,1,128,128,5e-05,10,0.0001,890,5,Adam,0.3141,0.5924,0.1995,0.7182
IVNCF,200,1,128,128,5e-05,10,0.0001,900,5,Adam,0.3159,0.5954,0.1998,0.7195
IVNCF,200,1,128,128,5e-05,10,0.0001,910,5,Adam,0.3162,0.596,0.1999,0.7198
IVNCF,200,1,128,128,5e-05,10,0.0001,920,5,Adam,0.3158,0.5953,0.2004,0.7205
IVNCF,200,1,128,128,5e-05,10,0.0001,930,5,Adam,0.315,0.5954,0.2005,0.7232
IVNCF,200,1,128,128,5e-05,10,0.0001,940,5,Adam,0.3153,0.5941,0.1995,0.7178
IVNCF,200,1,128,128,5e-05,10,0.0001,950,5,Adam,0.3148,0.5936,0.1999,0.7184
IVNCF,200,1,128,128,5e-05,10,0.0001,960,5,Adam,0.3148,0.5931,0.1997,0.7174
IVNCF,200,1,128,128,5e-05,10,0.0001,970,5,Adam,0.3157,0.5946,0.1997,0.7187
IVNCF,200,1,128,128,5e-05,10,0.0001,980,5,Adam,0.3138,0.5917,0.1986,0.7157
IVNCF,200,1,128,128,5e-05,10,0.0001,990,5,Adam,0.3159,0.596,0.2003,0.7213
IVNCF,200,1,128,128,5e-05,10,0.0001,1000,5,Adam,0.315,0.5923,0.199,0.7152
INCF,100,1,128,128,0.001,10,0.0005,10,5,Adam,0.3164,0.5995,0.2026,0.7304
INCF,100,1,128,128,0.001,10,0.0005,20,5,Adam,0.3186,0.6033,0.203,0.7339
INCF,100,1,128,128,0.001,10,0.0005,30,5,Adam,0.3171,0.6009,0.2009,0.726
INCF,100,1,128,128,0.001,10,0.0005,40,5,Adam,0.3174,0.6021,0.2021,0.7297
INCF,100,1,128,128,0.001,10,0.0005,50,5,Adam,0.3164,0.5988,0.201,0.7251
INCF,100,1,128,128,0.001,10,0.0005,60,5,Adam,0.3144,0.5964,0.1988,0.7195
INCF,100,1,128,128,0.001,10,0.0005,70,5,Adam,0.319,0.6029,0.2001,0.7239
INCF,100,1,128,128,0.001,10,0.0005,80,5,Adam,0.3185,0.6037,0.2016,0.7282
INCF,100,1,128,128,0.001,10,0.0005,90,5,Adam,0.3203,0.6063,0.2027,0.7303
INCF,100,1,128,128,0.001,10,0.0005,100,5,Adam,0.3179,0.6028,0.2011,0.7258
INCF,100,1,128,128,0.001,10,0.0005,110,5,Adam,0.3201,0.6041,0.2004,0.7243
INCF,100,1,128,128,0.001,10,0.0005,120,5,Adam,0.3198,0.6045,0.2015,0.7266
INCF,100,1,128,128,0.001,10,0.0005,130,5,Adam,0.3191,0.6042,0.2007,0.7261
INCF,100,1,128,128,0.001,10,0.0005,140,5,Adam,0.3197,0.6046,0.2009,0.7243
INCF,100,1,128,128,0.001,10,0.0005,150,5,Adam,0.3193,0.6045,0.2019,0.728
INCF,100,1,128,128,0.001,10,0.0005,160,5,Adam,0.3203,0.608,0.2027,0.7342
INCF,100,1,128,128,0.001,10,0.0005,170,5,Adam,0.3192,0.6036,0.202,0.7258
INCF,100,1,128,128,0.001,10,0.0005,180,5,Adam,0.3204,0.6051,0.2017,0.7257
INCF,100,1,128,128,0.001,10,0.0005,190,5,Adam,0.3188,0.6031,0.2011,0.7245
INCF,100,1,128,128,0.001,10,0.0005,200,5,Adam,0.3191,0.6028,0.1994,0.721
INCF,100,1,128,128,0.001,10,0.0005,210,5,Adam,0.3208,0.6062,0.2017,0.7283
INCF,100,1,128,128,0.001,10,0.0005,220,5,Adam,0.3209,0.6058,0.2015,0.7247
INCF,100,1,128,128,0.001,10,0.0005,230,5,Adam,0.3199,0.606,0.2021,0.73
INCF,100,1,128,128,0.001,10,0.0005,240,5,Adam,0.319,0.6029,0.2003,0.7225
INCF,100,1,128,128,0.001,10,0.0005,250,5,Adam,0.3176,0.6024,0.2022,0.728
INCF,100,1,128,128,0.001,10,0.0005,260,5,Adam,0.3219,0.6092,0.2035,0.7329
INCF,100,1,128,128,0.001,10,0.0005,270,5,Adam,0.3209,0.6078,0.2018,0.7309
INCF,100,1,128,128,0.001,10,0.0005,280,5,Adam,0.3208,0.6069,0.2024,0.7299
INCF,100,1,128,128,0.001,10,0.0005,290,5,Adam,0.3211,0.6078,0.2031,0.7314
INCF,100,1,128,128,0.001,10,0.0005,300,5,Adam,0.3202,0.6059,0.2018,0.7261
INCF,100,1,128,128,0.001,10,0.0005,310,5,Adam,0.32,0.6061,0.2018,0.7282
INCF,100,1,128,128,0.001,10,0.0005,320,5,Adam,0.3212,0.607,0.2025,0.7294
INCF,100,1,128,128,0.001,10,0.0005,330,5,Adam,0.3209,0.6077,0.202,0.7294
INCF,100,1,128,128,0.001,10,0.0005,340,5,Adam,0.3206,0.6073,0.2022,0.7303
INCF,100,1,128,128,0.001,10,0.0005,350,5,Adam,0.3207,0.6062,0.2014,0.7278
INCF,100,1,128,128,0.001,10,0.0005,360,5,Adam,0.3209,0.6071,0.2018,0.7296
INCF,100,1,128,128,0.001,10,0.0005,370,5,Adam,0.3218,0.6087,0.2026,0.7307
INCF,100,1,128,128,0.001,10,0.0005,380,5,Adam,0.3216,0.6088,0.2028,0.7325
INCF,100,1,128,128,0.001,10,0.0005,390,5,Adam,0.3202,0.6057,0.2015,0.7273
INCF,100,1,128,128,0.001,10,0.0005,400,5,Adam,0.3202,0.6065,0.2012,0.7281
INCF,100,1,128,128,0.001,10,0.0005,410,5,Adam,0.3217,0.6086,0.2029,0.7325
INCF,100,1,128,128,0.001,10,0.0005,420,5,Adam,0.3194,0.6046,0.2005,0.7256
INCF,100,1,128,128,0.001,10,0.0005,430,5,Adam,0.3213,0.6072,0.202,0.729
INCF,100,1,128,128,0.001,10,0.0005,440,5,Adam,0.3199,0.6064,0.2025,0.7305
INCF,100,1,128,128,0.001,10,0.0005,450,5,Adam,0.3218,0.6091,0.2026,0.733
INCF,100,1,128,128,0.001,10,0.0005,460,5,Adam,0.3211,0.609,0.2032,0.7336
INCF,100,1,128,128,0.001,10,0.0005,470,5,Adam,0.3221,0.6091,0.2022,0.7304
INCF,100,1,128,128,0.001,10,0.0005,480,5,Adam,0.3211,0.6076,0.2028,0.7303
INCF,100,1,128,128,0.001,10,0.0005,490,5,Adam,0.3207,0.608,0.2026,0.7321
INCF,100,1,128,128,0.001,10,0.0005,500,5,Adam,0.321,0.608,0.2036,0.7331
INCF,100,1,128,128,0.001,10,0.0005,510,5,Adam,0.3216,0.609,0.2025,0.7318
INCF,100,1,128,128,0.001,10,0.0005,520,5,Adam,0.3206,0.6064,0.2011,0.726
INCF,100,1,128,128,0.001,10,0.0005,530,5,Adam,0.321,0.6066,0.2017,0.7278
INCF,100,1,128,128,0.001,10,0.0005,540,5,Adam,0.3206,0.6068,0.2018,0.7284
INCF,100,1,128,128,0.001,10,0.0005,550,5,Adam,0.3197,0.6045,0.2009,0.7229
INCF,100,1,128,128,0.001,10,0.0005,560,5,Adam,0.3214,0.6064,0.2015,0.7259
INCF,100,1,128,128,0.001,10,0.0005,570,5,Adam,0.3202,0.6059,0.2015,0.7267
INCF,100,1,128,128,0.001,10,0.0005,580,5,Adam,0.3197,0.6068,0.202,0.7323
INCF,100,1,128,128,0.001,10,0.0005,590,5,Adam,0.3222,0.6095,0.2021,0.7304
INCF,100,1,128,128,0.001,10,0.0005,600,5,Adam,0.3201,0.6056,0.2019,0.7276
INCF,100,1,128,128,0.001,10,0.0005,610,5,Adam,0.3219,0.609,0.2031,0.7312
INCF,100,1,128,128,0.001,10,0.0005,620,5,Adam,0.3204,0.6065,0.2016,0.7282
INCF,100,1,128,128,0.001,10,0.0005,630,5,Adam,0.3205,0.6054,0.2013,0.7243
INCF,100,1,128,128,0.001,10,0.0005,640,5,Adam,0.3201,0.6061,0.2023,0.7299
INCF,100,1,128,128,0.001,10,0.0005,650,5,Adam,0.3218,0.6088,0.2026,0.7311
